epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65595,1.95129,4.24567,1.83022,0.00385,0.50872,0.05218,0.02368,1.80353,3.75396,1.5162,8.888e-05,8.888e-05,8.888e-05
2,8.33335,1.75545,3.71993,1.56082,0.0061,0.77659,0.14858,0.06798,1.60945,3.57898,1.32403,0.000187,0.000187,0.000187
3,11.808,1.80981,2.91105,1.51205,0.00829,0.82045,0.20577,0.10852,1.40477,3.30001,1.22102,0.000283141,0.000283141,0.000283141
4,15.2007,1.58921,2.46991,1.39127,0.00867,0.76333,0.20115,0.09557,1.4398,3.34682,1.29498,0.000377301,0.000377301,0.000377301
5,18.5438,1.53588,2.09906,1.41556,0.88883,0.06364,0.2517,0.144,1.3275,3.072,1.18242,0.000469482,0.000469482,0.000469482
6,21.7529,1.51817,2.02936,1.33023,0.8831,0.06667,0.26123,0.14341,1.31906,3.09788,1.18902,0.000559683,0.000559683,0.000559683
7,24.8985,1.39899,1.77452,1.29357,0.83559,0.09021,0.26789,0.14401,1.36899,3.15234,1.28224,0.000647904,0.000647904,0.000647904
8,28.0417,1.40816,1.9192,1.31696,0.62655,0.25239,0.32513,0.18079,1.32588,2.93629,1.2562,0.000734145,0.000734145,0.000734145
9,31.0919,1.44087,1.84165,1.31841,0.48749,0.31918,0.41007,0.248,1.34871,2.7303,1.27479,0.000818407,0.000818407,0.000818407
10,34.2034,1.43637,1.72833,1.30411,0.63872,0.32069,0.40911,0.2413,1.33642,2.73046,1.29137,0.000900689,0.000900689,0.000900689
11,37.3818,1.38402,1.80254,1.32119,0.54422,0.39438,0.43597,0.26511,1.26303,2.49542,1.22607,0.000980991,0.000980991,0.000980991
12,40.5804,1.27741,1.55811,1.2144,0.43648,0.4784,0.45081,0.27088,1.24704,2.2139,1.17728,0.000990012,0.000990012,0.000990012
13,43.725,1.32283,1.54282,1.24618,0.43017,0.51895,0.43971,0.27003,1.29131,2.04428,1.22684,0.000979013,0.000979013,0.000979013
14,46.8456,1.27786,1.48971,1.22272,0.42266,0.48112,0.40625,0.25703,1.22287,2.03963,1.21518,0.000968014,0.000968014,0.000968014
15,49.9207,1.25075,1.43326,1.21116,0.48384,0.47475,0.42218,0.2675,1.22397,2.16581,1.26313,0.000957015,0.000957015,0.000957015
16,52.9908,1.2092,1.40279,1.2166,0.49608,0.44493,0.41557,0.27689,1.18047,2.08475,1.22349,0.000946016,0.000946016,0.000946016
17,56.0048,1.22036,1.43113,1.20368,0.43187,0.40498,0.40461,0.27082,1.156,2.18043,1.21917,0.000935018,0.000935018,0.000935018
18,58.9907,1.19816,1.33688,1.18795,0.37401,0.40783,0.38293,0.23933,1.35841,2.33729,1.34168,0.000924019,0.000924019,0.000924019
19,62.8418,1.22709,1.30255,1.21394,0.45867,0.43532,0.40109,0.26211,1.27106,2.19835,1.27682,0.00091302,0.00091302,0.00091302
20,65.8493,1.26874,1.36276,1.24043,0.43516,0.53709,0.44009,0.28174,1.1689,2.02279,1.21093,0.000902021,0.000902021,0.000902021
21,69.0415,1.19935,1.31632,1.17492,0.49339,0.57541,0.48504,0.33383,1.04624,1.9667,1.14232,0.000891022,0.000891022,0.000891022
22,72.2201,1.11057,1.19281,1.15034,0.48412,0.57337,0.47648,0.32131,1.10672,2.03937,1.18514,0.000880023,0.000880023,0.000880023
23,75.2117,1.13,1.20676,1.14544,0.46977,0.58735,0.4582,0.30214,1.11101,1.98243,1.18743,0.000869024,0.000869024,0.000869024
24,78.2199,1.15339,1.24047,1.17639,0.45872,0.52143,0.43226,0.29287,1.01239,2.02264,1.10186,0.000858025,0.000858025,0.000858025
25,81.0851,1.12202,1.1477,1.15062,0.44205,0.53708,0.4147,0.28446,1.03295,2.06344,1.10771,0.000847026,0.000847026,0.000847026
26,83.9869,1.16816,1.18441,1.19804,0.4404,0.5434,0.43906,0.29016,1.13417,2.04766,1.15968,0.000836027,0.000836027,0.000836027
27,86.9008,1.17067,1.19282,1.18989,0.52619,0.49438,0.45131,0.31075,1.082,2.11079,1.12952,0.000825029,0.000825029,0.000825029
28,89.9015,1.1004,1.1225,1.15987,0.48228,0.52514,0.41401,0.29819,0.97546,2.17986,1.07426,0.00081403,0.00081403,0.00081403
29,92.8402,1.05719,1.04292,1.12126,0.52792,0.48175,0.41582,0.29913,0.9672,2.08951,1.08291,0.000803031,0.000803031,0.000803031
30,95.685,1.04332,1.04644,1.10564,0.50012,0.52893,0.43563,0.31689,0.93592,2.07661,1.07702,0.000792032,0.000792032,0.000792032
31,98.5474,1.02229,1.00099,1.1014,0.50947,0.53334,0.4533,0.32943,0.91685,2.06444,1.05784,0.000781033,0.000781033,0.000781033
32,101.519,1.05174,1.01949,1.12349,0.46518,0.59387,0.459,0.30582,0.94205,1.94541,1.06611,0.000770034,0.000770034,0.000770034
33,104.267,1.00837,0.99757,1.08814,0.46664,0.57939,0.46809,0.31601,0.94076,1.95546,1.07367,0.000759035,0.000759035,0.000759035
34,107.118,0.94662,0.94566,1.06958,0.49419,0.59253,0.47106,0.32659,0.96665,1.94554,1.10166,0.000748036,0.000748036,0.000748036
35,110.032,1.0251,0.96101,1.11687,0.48753,0.535,0.43748,0.31757,0.86046,2.03517,1.04363,0.000737037,0.000737037,0.000737037
36,112.919,1.02424,0.98009,1.11269,0.49338,0.57427,0.46341,0.33357,0.91368,1.9159,1.05591,0.000726038,0.000726038,0.000726038
37,115.763,1.03892,1.0234,1.11241,0.49484,0.53183,0.44463,0.31822,0.91547,2.03006,1.04298,0.00071504,0.00071504,0.00071504
38,118.625,1.04715,0.96919,1.09807,0.50793,0.53244,0.41973,0.29372,1.00749,2.13965,1.08898,0.000704041,0.000704041,0.000704041
39,121.55,0.99236,0.92183,1.09568,0.48689,0.53918,0.40296,0.29947,0.89253,2.11159,1.03656,0.000693042,0.000693042,0.000693042
40,124.432,1.02847,0.98722,1.10714,0.50591,0.51841,0.4338,0.32431,0.89894,2.00138,1.03764,0.000682043,0.000682043,0.000682043
41,127.223,1.01185,0.93138,1.11538,0.52861,0.50929,0.41589,0.32145,0.81211,2.12779,1.0094,0.000671044,0.000671044,0.000671044
42,130.05,1.01276,0.9593,1.11508,0.54235,0.49904,0.41504,0.32215,0.84053,2.12279,1.02017,0.000660045,0.000660045,0.000660045
43,132.937,0.94288,0.95615,1.07268,0.48122,0.55009,0.42197,0.3265,0.80835,1.95659,1.01035,0.000649046,0.000649046,0.000649046
44,135.792,0.95717,0.92891,1.08975,0.56271,0.49908,0.4112,0.3215,0.75388,2.03517,0.9842,0.000638047,0.000638047,0.000638047
45,138.577,0.91518,0.83229,1.04363,0.53566,0.49854,0.41967,0.32422,0.78584,2.1469,0.99416,0.000627048,0.000627048,0.000627048
46,141.454,0.90694,0.84424,1.0382,0.50936,0.50238,0.45342,0.35286,0.75516,2.05044,0.97609,0.000616049,0.000616049,0.000616049
47,144.279,0.92779,0.84945,1.05782,0.5155,0.51637,0.43615,0.34149,0.77937,1.98946,0.98196,0.000605051,0.000605051,0.000605051
48,147.148,0.89552,0.86443,1.05261,0.53158,0.50333,0.45003,0.36302,0.76698,2.16433,0.97404,0.000594052,0.000594052,0.000594052
49,149.989,0.8824,0.85724,1.02954,0.55292,0.49731,0.43472,0.3414,0.7806,2.21344,0.97532,0.000583053,0.000583053,0.000583053
50,152.89,0.92698,0.88373,1.08077,0.48649,0.51764,0.41535,0.32893,0.7679,2.1684,0.98707,0.000572054,0.000572054,0.000572054
51,155.77,0.89244,0.84072,1.05491,0.45029,0.51291,0.42315,0.33462,0.74891,2.20528,0.99169,0.000561055,0.000561055,0.000561055
52,158.76,0.91123,0.83566,1.07877,0.50193,0.49255,0.42082,0.3312,0.76254,2.23251,0.98832,0.000550056,0.000550056,0.000550056
53,161.616,0.8996,0.84335,1.04561,0.51626,0.486,0.42139,0.33712,0.72176,2.23371,0.96851,0.000539057,0.000539057,0.000539057
54,164.526,0.88345,0.80068,1.04632,0.49755,0.4884,0.42429,0.34329,0.72319,2.19879,0.964,0.000528058,0.000528058,0.000528058
55,167.346,0.85776,0.82985,1.03732,0.52112,0.48828,0.41784,0.32624,0.72259,2.18331,0.95774,0.000517059,0.000517059,0.000517059
56,170.265,0.84929,0.77898,1.03464,0.52362,0.49633,0.40993,0.31663,0.75794,2.19386,0.96932,0.00050606,0.00050606,0.00050606
57,173.093,0.86446,0.80514,1.04153,0.50675,0.51203,0.41595,0.32799,0.74318,2.18506,0.95676,0.000495062,0.000495062,0.000495062
58,175.906,0.84607,0.74524,1.01702,0.48299,0.53187,0.40226,0.32186,0.71587,2.14265,0.94429,0.000484063,0.000484063,0.000484063
59,178.845,0.83609,0.75849,1.02035,0.53079,0.48516,0.39403,0.31398,0.72727,2.15849,0.949,0.000473064,0.000473064,0.000473064
60,181.82,0.77691,0.69763,0.98858,0.47309,0.52783,0.40146,0.32241,0.7158,2.15441,0.93888,0.000462065,0.000462065,0.000462065
