epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38586,1.07932,3.19948,1.17435,0.4755,0.53828,0.41845,0.31385,0.86753,1.66752,1.0549,8.888e-05,8.888e-05,8.888e-05
2,7.58922,1.19372,2.27519,1.17914,0.43236,0.58478,0.41163,0.30973,0.92916,2.16887,1.08368,0.000187,0.000187,0.000187
3,10.7151,1.13385,1.7621,1.14331,0.46616,0.61317,0.39419,0.28576,0.98252,2.77657,1.10588,0.000283141,0.000283141,0.000283141
4,13.8923,1.17409,1.61991,1.17304,0.43711,0.57093,0.40781,0.29664,0.94975,2.37432,1.09304,0.000377301,0.000377301,0.000377301
5,17.0676,1.16119,1.60437,1.19946,0.44019,0.60847,0.4115,0.27669,1.1288,2.21469,1.18833,0.000469482,0.000469482,0.000469482
6,20.2344,1.12409,1.57113,1.14522,0.44671,0.57479,0.40743,0.27485,1.09571,2.12208,1.17425,0.000559683,0.000559683,0.000559683
7,23.3845,1.12365,1.56955,1.18064,0.40075,0.53201,0.3969,0.26568,0.98958,2.06075,1.11238,0.000647904,0.000647904,0.000647904
8,26.4333,1.11752,1.55786,1.1934,0.34886,0.62036,0.35198,0.22923,1.01932,2.02794,1.1387,0.000734145,0.000734145,0.000734145
9,29.4837,1.17688,1.58388,1.1894,0.33133,0.59909,0.34701,0.21994,1.14543,2.01752,1.21719,0.000818407,0.000818407,0.000818407
10,32.4479,1.14364,1.49717,1.17193,0.37061,0.68007,0.36547,0.23226,1.04364,2.04492,1.1765,0.000900689,0.000900689,0.000900689
11,35.3757,1.13307,1.50015,1.16396,0.33376,0.67812,0.34638,0.23526,1.04142,2.00855,1.15401,0.000980991,0.000980991,0.000980991
12,38.3905,1.08956,1.40803,1.16593,0.39467,0.68815,0.4062,0.29048,0.95248,1.93224,1.11648,0.000990012,0.000990012,0.000990012
13,41.5089,1.0706,1.37531,1.13436,0.35229,0.70101,0.40883,0.28364,0.99619,1.97476,1.14693,0.000979013,0.000979013,0.000979013
14,44.6221,1.14778,1.40381,1.17256,0.33699,0.66303,0.40948,0.28257,1.00323,1.93358,1.16064,0.000968014,0.000968014,0.000968014
15,47.7275,1.02297,1.38127,1.10935,0.33394,0.69765,0.37242,0.25358,1.03859,1.96365,1.18372,0.000957015,0.000957015,0.000957015
16,50.8397,1.0491,1.33383,1.11938,0.29278,0.60859,0.31548,0.20167,1.15038,2.11515,1.25353,0.000946016,0.000946016,0.000946016
17,53.8412,1.03159,1.33326,1.15888,0.27422,0.62414,0.35015,0.2243,1.04,2.16627,1.21295,0.000935018,0.000935018,0.000935018
18,56.7787,1.06303,1.21968,1.13226,0.33222,0.35398,0.33965,0.22694,1.06485,2.24728,1.19473,0.000924019,0.000924019,0.000924019
19,59.7753,1.06736,1.23436,1.13576,0.30263,0.5586,0.34224,0.23116,0.9978,2.42079,1.15828,0.00091302,0.00091302,0.00091302
20,62.8798,1.04525,1.31565,1.12134,0.31859,0.63604,0.35138,0.23613,0.98233,2.07131,1.12819,0.000902021,0.000902021,0.000902021
21,65.8664,1.05768,1.25775,1.14546,0.3194,0.57255,0.37004,0.25022,0.94057,2.01409,1.11276,0.000891022,0.000891022,0.000891022
22,68.9896,1.07077,1.23162,1.13431,0.29645,0.48221,0.34773,0.23699,0.99955,2.30557,1.16019,0.000880023,0.000880023,0.000880023
23,72.0685,1.02676,1.2151,1.09273,0.27767,0.5593,0.34861,0.24251,0.92652,2.14639,1.10917,0.000869024,0.000869024,0.000869024
24,75.0643,0.99664,1.21745,1.1238,0.26522,0.59119,0.28103,0.19917,0.89311,2.19788,1.07666,0.000858025,0.000858025,0.000858025
25,77.9806,0.98797,1.14801,1.11884,0.27182,0.61398,0.26672,0.18205,0.85958,2.45204,1.07609,0.000847026,0.000847026,0.000847026
26,80.894,1.00007,1.13553,1.10769,0.28526,0.56774,0.2953,0.20676,0.8903,2.31101,1.08761,0.000836027,0.000836027,0.000836027
27,83.9264,1.01837,1.16485,1.14684,0.282,0.57574,0.31364,0.20738,0.92303,2.27128,1.10509,0.000825029,0.000825029,0.000825029
28,86.7606,0.96952,1.12048,1.12273,0.26957,0.5824,0.32857,0.22427,0.88674,2.3395,1.08746,0.00081403,0.00081403,0.00081403
29,89.5308,0.97487,1.13323,1.11404,0.28204,0.55261,0.33072,0.22885,0.89219,2.33449,1.07244,0.000803031,0.000803031,0.000803031
30,92.2892,1.00087,1.09442,1.10133,0.309,0.50964,0.28723,0.20002,0.87258,2.27149,1.06182,0.000792032,0.000792032,0.000792032
31,95.1406,1.02021,1.10947,1.10049,0.27449,0.41109,0.2519,0.1798,0.83035,2.44192,1.05013,0.000781033,0.000781033,0.000781033
32,97.8158,0.9605,1.0692,1.08052,0.31245,0.52473,0.31007,0.22111,0.87635,2.5766,1.06839,0.000770034,0.000770034,0.000770034
33,100.492,0.94057,0.98828,1.07722,0.2965,0.487,0.2808,0.20604,0.80149,2.63904,1.04448,0.000759035,0.000759035,0.000759035
34,103.273,0.95313,1.02185,1.09642,0.2549,0.43497,0.25697,0.18162,0.81095,2.5935,1.05131,0.000748036,0.000748036,0.000748036
35,106.088,0.92594,0.94508,1.06516,0.28137,0.40634,0.26794,0.19158,0.81244,2.66316,1.04275,0.000737037,0.000737037,0.000737037
36,108.988,0.92994,1.01261,1.06383,0.2862,0.41605,0.24952,0.17139,0.85866,2.6835,1.06771,0.000726038,0.000726038,0.000726038
37,112.027,0.90603,0.98439,1.0787,0.27942,0.38111,0.24511,0.17385,0.78793,2.70564,1.03218,0.00071504,0.00071504,0.00071504
38,114.967,0.91947,1.00065,1.0994,0.29176,0.45796,0.25782,0.177,0.8276,2.66347,1.05144,0.000704041,0.000704041,0.000704041
39,117.956,0.89625,0.93176,1.04652,0.28255,0.48325,0.2603,0.18408,0.84937,2.6355,1.06736,0.000693042,0.000693042,0.000693042
40,120.889,0.92738,0.98852,1.06202,0.28689,0.48134,0.29365,0.211,0.82314,2.60851,1.05202,0.000682043,0.000682043,0.000682043
41,123.82,0.87424,0.88899,1.06366,0.32464,0.49602,0.33283,0.24487,0.84536,2.52093,1.06383,0.000671044,0.000671044,0.000671044
