epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65484,1.96074,4.32089,1.84501,0.00258,0.3068,0.01713,0.00544,2.02061,3.92016,1.88783,4.444e-05,4.444e-05,4.444e-05
2,4.69254,2.08762,4.21959,1.88544,0.00399,0.45879,0.1038,0.04313,1.982,3.75953,1.70124,9.90001e-05,9.90001e-05,9.90001e-05
3,6.62881,1.76184,3.72407,1.53226,0.00637,0.77741,0.14267,0.05026,2.03835,3.70428,1.62396,0.00015246,0.00015246,0.00015246
4,8.66495,1.78574,3.36579,1.57204,0.00714,0.72214,0.182,0.08661,1.76383,3.62117,1.59588,0.000204821,0.000204821,0.000204821
5,10.5753,1.69427,2.97742,1.48363,0.00643,0.72387,0.19903,0.09336,1.48679,3.68346,1.50848,0.000256081,0.000256081,0.000256081
6,12.3561,1.66791,2.78277,1.505,0.00617,0.77631,0.20582,0.09324,1.46379,3.63208,1.45603,0.000306242,0.000306242,0.000306242
7,14.1565,1.66135,2.70044,1.56066,0.00667,0.83769,0.22364,0.10176,1.43662,3.4886,1.41637,0.000355302,0.000355302,0.000355302
8,16.0654,1.58457,2.46838,1.52814,0.00572,0.73708,0.21563,0.09603,1.43179,3.50454,1.47402,0.000403263,0.000403263,0.000403263
9,17.8943,1.55491,2.37736,1.47732,0.80258,0.07905,0.2128,0.08604,1.58474,3.52146,1.53713,0.000450124,0.000450124,0.000450124
10,19.6163,1.55982,2.19001,1.39305,0.72722,0.02221,0.18337,0.07971,1.56891,3.47268,1.52012,0.000495885,0.000495885,0.000495885
11,21.3551,1.52165,2.12988,1.41071,0.73837,0.08085,0.23041,0.10811,1.57459,3.31023,1.536,0.000540546,0.000540546,0.000540546
12,23.0819,1.57417,2.12369,1.42431,0.7823,0.0439,0.28103,0.14878,1.44481,3.05589,1.35265,0.000584107,0.000584107,0.000584107
13,24.759,1.50076,1.99867,1.37309,0.78389,0.04255,0.29464,0.15942,1.43299,2.99393,1.34743,0.000626568,0.000626568,0.000626568
14,26.4908,1.49041,1.89024,1.36136,0.81236,0.0999,0.29911,0.14427,1.49812,3.02288,1.42569,0.00066793,0.00066793,0.00066793
15,28.4847,1.43389,1.88145,1.39328,0.6572,0.21644,0.40765,0.21048,1.49892,2.8005,1.44246,0.000708191,0.000708191,0.000708191
16,30.1403,1.49439,1.90308,1.33075,0.65286,0.22392,0.44688,0.2705,1.38331,2.68794,1.34365,0.000747353,0.000747353,0.000747353
17,31.879,1.51775,1.79843,1.35529,0.46529,0.25294,0.43461,0.22763,1.34278,2.54857,1.29439,0.000785415,0.000785415,0.000785415
18,33.5002,1.47526,1.82981,1.37801,0.57911,0.5325,0.48019,0.23756,1.37285,2.53671,1.36921,0.000822377,0.000822377,0.000822377
19,35.1569,1.38776,1.88414,1.30409,0.54542,0.56118,0.51839,0.24224,1.42242,2.63142,1.43246,0.000858239,0.000858239,0.000858239
20,36.9077,1.43191,1.74056,1.32861,0.4406,0.56214,0.516,0.32604,1.41376,2.43702,1.41696,0.000893001,0.000893001,0.000893001
21,38.5832,1.22604,1.67122,1.2231,0.43481,0.58552,0.53543,0.35192,1.32706,2.21962,1.3021,0.000891022,0.000891022,0.000891022
22,40.3603,1.39009,1.75455,1.3273,0.46225,0.57553,0.53588,0.33297,1.30502,2.1886,1.25675,0.000880023,0.000880023,0.000880023
23,41.9961,1.30822,1.62193,1.25389,0.47613,0.53114,0.50865,0.32575,1.33095,2.27595,1.28881,0.000869024,0.000869024,0.000869024
24,43.6532,1.30395,1.62585,1.23215,0.45184,0.54118,0.49461,0.30567,1.45983,2.21996,1.34703,0.000858025,0.000858025,0.000858025
25,45.2817,1.24164,1.59554,1.22359,0.51413,0.62228,0.5248,0.32248,1.37316,2.07468,1.3237,0.000847026,0.000847026,0.000847026
26,46.9687,1.2623,1.52003,1.21776,0.53381,0.60212,0.52577,0.33284,1.31628,2.09418,1.31124,0.000836027,0.000836027,0.000836027
27,48.6927,1.2786,1.52584,1.22736,0.48852,0.6709,0.53505,0.36389,1.25459,2.08531,1.29244,0.000825029,0.000825029,0.000825029
28,50.4685,1.26028,1.57396,1.27449,0.47343,0.65515,0.53912,0.33244,1.21109,1.96386,1.26135,0.00081403,0.00081403,0.00081403
29,52.1422,1.21012,1.51886,1.23968,0.4536,0.69968,0.54488,0.38905,1.15023,1.91054,1.23109,0.000803031,0.000803031,0.000803031
30,53.8877,1.16582,1.45156,1.18716,0.52068,0.63841,0.54602,0.39007,1.11834,1.91376,1.19581,0.000792032,0.000792032,0.000792032
31,55.5866,1.30584,1.54042,1.25931,0.53539,0.61106,0.55203,0.36371,1.14189,1.90174,1.20223,0.000781033,0.000781033,0.000781033
32,57.3619,1.2693,1.46727,1.24988,0.55757,0.68414,0.56794,0.36625,1.12539,1.83539,1.2219,0.000770034,0.000770034,0.000770034
33,59.0991,1.20948,1.39695,1.22108,0.57618,0.6268,0.57616,0.3878,1.15356,1.81764,1.25272,0.000759035,0.000759035,0.000759035
34,60.7909,1.17262,1.37764,1.18381,0.55875,0.6218,0.57029,0.39041,1.1362,1.80063,1.22286,0.000748036,0.000748036,0.000748036
35,62.575,1.1476,1.33316,1.17316,0.4867,0.70255,0.56932,0.40376,1.12317,1.77966,1.17888,0.000737037,0.000737037,0.000737037
