epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51.4796,1.12919,1.31789,1.17519,0.47397,0.58229,0.46751,0.32237,1.11134,2.24969,1.10399,0.000660045,0.000660045,0.000660045
43,52.7864,1.07342,1.33223,1.11191,0.45004,0.50911,0.46227,0.33141,1.05684,2.3987,1.08391,0.000649046,0.000649046,0.000649046
44,54.1127,1.11138,1.3438,1.16032,0.44661,0.50944,0.43347,0.29165,1.07855,2.53298,1.10179,0.000638047,0.000638047,0.000638047
45,55.4081,1.1175,1.44947,1.16174,0.42839,0.51815,0.42924,0.30674,1.09238,2.53103,1.10632,0.000627048,0.000627048,0.000627048
46,56.7092,1.1574,1.41351,1.16588,0.4566,0.57917,0.42384,0.30348,1.04555,2.42354,1.08466,0.000616049,0.000616049,0.000616049
47,58.0129,1.13335,1.31557,1.18919,0.44713,0.63151,0.43688,0.31867,1.05752,2.39101,1.09117,0.000605051,0.000605051,0.000605051
48,59.2775,1.12578,1.28572,1.15843,0.44456,0.65185,0.44069,0.30752,1.01117,2.39405,1.07299,0.000594052,0.000594052,0.000594052
49,60.525,1.11467,1.28556,1.14265,0.44384,0.64943,0.45494,0.31956,0.94751,2.36538,1.0406,0.000583053,0.000583053,0.000583053
50,61.7454,1.08347,1.19064,1.12064,0.45134,0.64319,0.45858,0.30918,0.96264,2.37181,1.03912,0.000572054,0.000572054,0.000572054
51,62.8882,1.10323,1.26561,1.14292,0.42199,0.58468,0.44402,0.31613,0.9761,2.44001,1.05057,0.000561055,0.000561055,0.000561055
52,64.1421,1.09896,1.20484,1.13504,0.41141,0.54979,0.4408,0.31275,0.94258,2.62321,1.03165,0.000550056,0.000550056,0.000550056
53,65.435,1.05661,1.20956,1.10306,0.43704,0.5605,0.44421,0.31038,0.92767,2.69162,1.03071,0.000539057,0.000539057,0.000539057
54,66.6077,1.06494,1.19165,1.12576,0.4489,0.56429,0.43799,0.30842,0.90489,2.67412,1.03312,0.000528058,0.000528058,0.000528058
55,67.8433,1.04593,1.23232,1.13854,0.43046,0.52285,0.43261,0.30792,0.87733,2.76951,1.02342,0.000517059,0.000517059,0.000517059
56,69.0854,1.01245,1.09182,1.09039,0.40617,0.49025,0.42,0.29963,0.8753,2.88586,1.01527,0.00050606,0.00050606,0.00050606
57,70.401,1.0591,1.14162,1.09879,0.38102,0.48495,0.4049,0.28432,0.86983,3.00462,1.0108,0.000495062,0.000495062,0.000495062
58,71.6814,0.90921,1.04838,1.08847,0.41869,0.40618,0.38941,0.27218,0.89466,3.07478,1.02486,0.000484063,0.000484063,0.000484063
59,73.0068,0.94437,1.20388,1.11974,0.34998,0.47237,0.38348,0.27301,0.93788,3.04808,1.04072,0.000473064,0.000473064,0.000473064
60,74.2931,1.02417,1.09227,1.12043,0.33972,0.45503,0.37573,0.25757,0.88372,3.06088,1.01451,0.000462065,0.000462065,0.000462065
61,75.6543,1.01973,1.1533,1.13451,0.35188,0.44014,0.36643,0.25131,0.81915,3.15329,0.98268,0.000451066,0.000451066,0.000451066
62,77.0153,1.03093,1.08298,1.11403,0.37997,0.42552,0.35991,0.24333,0.79233,3.33003,0.98437,0.000440067,0.000440067,0.000440067
