epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22372,0.83626,0.76521,1.02582,0.51125,0.49697,0.43837,0.36738,0.64224,2.1371,0.914,8.888e-05,8.888e-05,8.888e-05
2,7.25171,0.79305,0.73391,1.0133,0.48596,0.49171,0.44399,0.37162,0.64468,2.11446,0.91621,0.000188247,0.000188247,0.000188247
3,10.2509,0.84623,0.69914,1.00969,0.49578,0.49778,0.42249,0.35146,0.61917,2.13871,0.91065,0.000286954,0.000286954,0.000286954
4,13.2681,0.80941,0.70222,1.02392,0.49096,0.52132,0.42325,0.35158,0.6819,2.27669,0.92818,0.000385,0.000385,0.000385
5,16.1347,0.81079,0.70513,1.02515,0.51453,0.50217,0.4258,0.34658,0.71068,2.25924,0.96228,0.000482387,0.000482387,0.000482387
6,19.2827,0.81082,0.73456,1.00156,0.49173,0.49786,0.42881,0.33878,0.7693,2.08321,0.98553,0.000579114,0.000579114,0.000579114
7,22.5524,0.81245,0.73399,1.02862,0.48067,0.4994,0.38323,0.30643,0.71628,2.24018,0.95814,0.000675181,0.000675181,0.000675181
8,25.7303,0.83242,0.74884,1.04034,0.44486,0.54743,0.40706,0.3088,0.75159,2.14716,0.96606,0.000770588,0.000770588,0.000770588
9,28.4504,0.86175,0.78251,1.04365,0.5021,0.50455,0.40308,0.31849,0.7352,2.31076,0.96965,0.000865336,0.000865336,0.000865336
10,31.128,0.88617,0.77336,1.04839,0.49562,0.49126,0.39426,0.31781,0.72012,2.18415,0.95765,0.000959423,0.000959423,0.000959423
11,33.6323,0.89242,0.81202,1.07343,0.50234,0.48772,0.39758,0.31278,0.84608,2.15083,1.0401,0.00105285,0.00105285,0.00105285
12,36.0042,0.86712,0.72993,1.03401,0.49384,0.50775,0.38355,0.29971,0.77537,2.39387,0.99352,0.00107067,0.00107067,0.00107067
13,38.5351,0.92178,0.79261,1.06076,0.47132,0.51859,0.40881,0.30719,0.83091,2.11088,1.03086,0.001067,0.001067,0.001067
14,41.0023,0.91735,0.77301,1.05492,0.49049,0.49537,0.43133,0.32093,0.84795,2.12041,1.04278,0.00106334,0.00106334,0.00106334
15,43.5245,0.9083,0.75256,1.04097,0.48449,0.50856,0.39588,0.29788,0.80541,2.28049,1.01491,0.00105967,0.00105967,0.00105967
16,46.1535,0.883,0.76031,1.05074,0.5188,0.4796,0.40124,0.30608,0.8883,2.3826,1.07844,0.00105601,0.00105601,0.00105601
17,48.661,0.91095,0.78407,1.06463,0.5231,0.46963,0.40621,0.31337,0.93694,2.29645,1.11654,0.00105234,0.00105234,0.00105234
18,51.8248,0.87177,0.72914,1.03863,0.54589,0.48809,0.41913,0.31387,0.84874,2.31001,1.06097,0.00104867,0.00104867,0.00104867
19,54.5181,0.88683,0.73916,1.06452,0.50854,0.51793,0.41713,0.30652,0.78128,2.33755,1.02535,0.00104501,0.00104501,0.00104501
20,57.2359,0.93337,0.79879,1.09105,0.49339,0.49795,0.40387,0.32137,0.80181,2.20257,1.02569,0.00104134,0.00104134,0.00104134
21,59.9268,0.88085,0.73341,1.04323,0.49998,0.50152,0.4034,0.32102,0.79041,2.2112,1.00535,0.00103767,0.00103767,0.00103767
22,62.5749,0.84016,0.69711,1.04347,0.49049,0.49708,0.38598,0.30179,0.74966,2.23193,0.98166,0.00103401,0.00103401,0.00103401
23,65.0726,0.82584,0.67847,1.02239,0.48054,0.49794,0.38503,0.30074,0.76021,2.19262,0.9828,0.00103034,0.00103034,0.00103034
24,67.5437,0.88575,0.72372,1.05457,0.49648,0.49108,0.3743,0.30046,0.74287,2.24608,0.98222,0.00102668,0.00102668,0.00102668
25,69.9686,0.85228,0.68025,1.02979,0.48099,0.50148,0.3898,0.30698,0.77659,2.25759,0.99423,0.00102301,0.00102301,0.00102301
26,72.647,0.8929,0.72398,1.07537,0.48982,0.50277,0.37858,0.3022,0.73952,2.36814,0.97187,0.00101934,0.00101934,0.00101934
27,75.2136,0.83411,0.67632,1.04381,0.48307,0.51325,0.39196,0.30791,0.75785,2.45961,0.99205,0.00101568,0.00101568,0.00101568
28,77.8681,0.82667,0.65929,1.04679,0.52321,0.47776,0.40589,0.32192,0.755,2.4214,0.99587,0.00101201,0.00101201,0.00101201
29,80.5107,0.80451,0.60433,1.01603,0.51026,0.48642,0.41076,0.32322,0.78404,2.40358,1.01672,0.00100834,0.00100834,0.00100834
30,83.1199,0.82403,0.64545,1.01789,0.47821,0.52082,0.41222,0.32216,0.7606,2.34284,1.00085,0.00100468,0.00100468,0.00100468
31,85.889,0.8131,0.64001,1.01969,0.48989,0.53063,0.42215,0.33249,0.75557,2.24127,0.99199,0.00100101,0.00100101,0.00100101
32,88.5472,0.82842,0.67709,1.03987,0.50981,0.5352,0.41624,0.34125,0.71254,2.18405,0.9742,0.000997345,0.000997345,0.000997345
33,91.1648,0.80248,0.62383,1.0065,0.49961,0.51727,0.39944,0.32454,0.69821,2.12521,0.96749,0.000993678,0.000993678,0.000993678
34,93.7684,0.74365,0.61868,0.99019,0.51623,0.49593,0.3967,0.32476,0.68724,2.17929,0.95579,0.000990012,0.000990012,0.000990012
35,96.3176,0.81492,0.614,1.01948,0.48341,0.50882,0.38898,0.30964,0.69948,2.31888,0.96829,0.000986346,0.000986346,0.000986346
36,98.9292,0.7887,0.62883,1.01776,0.50011,0.55217,0.39744,0.30972,0.72002,2.10775,0.96889,0.000982679,0.000982679,0.000982679
