epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57519,1.87198,4.43014,1.78979,0.00736,0.55175,0.13171,0.0587,1.81344,3.65792,1.56211,8.181e-05,8.181e-05,8.181e-05
2,6.02357,1.93146,4.16886,1.64828,0.01169,0.48491,0.19832,0.11454,1.68871,3.52495,1.49252,0.000171855,0.000171855,0.000171855
3,8.31415,1.65117,3.4056,1.44285,0.97902,0.18667,0.21435,0.13716,1.42464,3.31429,1.40774,0.000261,0.000261,0.000261
4,10.5803,1.54737,2.79164,1.44244,0.98785,0.10315,0.27427,0.13544,1.35131,2.96215,1.29338,0.000349246,0.000349246,0.000349246
5,12.8569,1.54648,2.3584,1.47623,0.02516,0.91544,0.51979,0.32311,1.32645,2.70822,1.35419,0.000436591,0.000436591,0.000436591
6,15.0841,1.48503,2.1428,1.37452,1,0.13579,0.60047,0.38331,1.35767,2.49931,1.42021,0.000523036,0.000523036,0.000523036
7,17.194,1.52436,1.97814,1.40346,0.93001,0.0805,0.54951,0.29977,1.51586,2.66177,1.55604,0.000608582,0.000608582,0.000608582
8,19.3558,1.45106,1.91479,1.35638,0.89513,0.31319,0.56661,0.28964,1.42169,2.07782,1.37421,0.000693227,0.000693227,0.000693227
9,21.4742,1.39737,1.86026,1.31071,0.84034,0.49781,0.66044,0.3225,1.5394,1.78719,1.385,0.000776973,0.000776973,0.000776973
10,23.6041,1.42321,1.79895,1.36023,0.7866,0.46075,0.65514,0.39037,1.42272,1.73207,1.34296,0.000859819,0.000859819,0.000859819
11,25.7295,1.31846,1.80505,1.27019,0.73385,0.59473,0.70944,0.4456,1.26629,1.43909,1.29557,0.000864004,0.000864004,0.000864004
12,27.813,1.33894,1.70008,1.27336,0.81706,0.66528,0.76608,0.50244,1.18901,1.42541,1.23244,0.000859505,0.000859505,0.000859505
13,29.8457,1.31289,1.65516,1.24957,0.86004,0.71025,0.77889,0.51734,1.22119,1.35662,1.21389,0.000855005,0.000855005,0.000855005
14,31.9193,1.25116,1.55412,1.22096,0.76317,0.71116,0.77782,0.53899,1.2776,1.06161,1.36247,0.000850506,0.000850506,0.000850506
15,34.0399,1.23159,1.44022,1.22482,0.81002,0.72242,0.78435,0.53656,1.26879,0.97751,1.30633,0.000846006,0.000846006,0.000846006
16,36.178,1.25412,1.51801,1.23286,0.77018,0.75779,0.77129,0.4953,1.3356,1.06764,1.38277,0.000841507,0.000841507,0.000841507
17,38.4086,1.16029,1.35253,1.18628,0.71308,0.75595,0.77303,0.52011,1.23634,1.01328,1.29861,0.000837007,0.000837007,0.000837007
18,40.6316,1.28406,1.43846,1.28969,0.67149,0.74708,0.76337,0.47826,1.30664,1.25658,1.3613,0.000832508,0.000832508,0.000832508
19,42.7664,1.16714,1.34113,1.18194,0.76197,0.68046,0.73658,0.48765,1.2635,1.3074,1.31303,0.000828008,0.000828008,0.000828008
20,44.8198,1.17675,1.29868,1.17882,0.77705,0.6851,0.76089,0.48694,1.30942,1.09215,1.33332,0.000823509,0.000823509,0.000823509
21,46.8756,1.17568,1.30969,1.17414,0.70816,0.7254,0.75252,0.50012,1.28066,1.01635,1.32093,0.000819009,0.000819009,0.000819009
22,48.9584,1.13316,1.28492,1.13901,0.85914,0.62016,0.72416,0.47709,1.21567,1.11319,1.26767,0.000814509,0.000814509,0.000814509
23,51.0109,1.22526,1.32786,1.21136,0.75714,0.76738,0.78317,0.53447,1.1367,0.98892,1.23755,0.00081001,0.00081001,0.00081001
24,53.1163,1.12089,1.25434,1.15159,0.80954,0.80706,0.83889,0.56734,1.15783,0.87304,1.26001,0.00080551,0.00080551,0.00080551
25,55.1457,1.0848,1.24279,1.13004,0.86853,0.70814,0.8452,0.56793,1.10936,0.88481,1.21234,0.000801011,0.000801011,0.000801011
26,57.166,1.08847,1.19705,1.14252,0.89686,0.66456,0.80468,0.54025,1.09063,0.88767,1.18917,0.000796511,0.000796511,0.000796511
27,59.1954,1.04123,1.11892,1.13635,0.89623,0.77696,0.8692,0.59258,1.03702,0.85105,1.15137,0.000792012,0.000792012,0.000792012
28,61.3426,1.0498,1.1573,1.1444,0.8543,0.7677,0.80351,0.56204,1.04219,0.89659,1.16058,0.000787512,0.000787512,0.000787512
29,63.4084,1.14323,1.196,1.20438,0.8469,0.75604,0.79923,0.55251,1.04993,0.8662,1.15344,0.000783013,0.000783013,0.000783013
30,65.5766,1.02708,1.08297,1.12889,0.75801,0.87208,0.79871,0.54797,1.10668,0.89881,1.19585,0.000778513,0.000778513,0.000778513
31,67.6978,1.05026,1.0177,1.1132,0.75937,0.8366,0.76791,0.52106,1.11309,0.92468,1.19874,0.000774013,0.000774013,0.000774013
32,70.0042,1.03331,1.0776,1.11488,0.78777,0.82905,0.85085,0.56037,1.12445,0.87344,1.20817,0.000769514,0.000769514,0.000769514
33,72.2145,1.01102,1.02655,1.08304,0.9234,0.82611,0.90451,0.58919,1.05736,0.83612,1.19053,0.000765014,0.000765014,0.000765014
34,74.373,0.96264,1.00238,1.06492,0.86381,0.76507,0.85111,0.55855,1.07635,0.86349,1.18449,0.000760515,0.000760515,0.000760515
35,76.4371,0.9998,1.00226,1.06729,0.79985,0.85392,0.87569,0.57301,1.06436,0.78513,1.18356,0.000756015,0.000756015,0.000756015
36,78.4746,1.08324,1.05519,1.17057,0.77078,0.80917,0.80588,0.57413,1.10371,0.80639,1.18476,0.000751516,0.000751516,0.000751516
37,80.4603,1.01048,0.99315,1.10688,0.78925,0.84974,0.86169,0.61095,1.05918,0.70327,1.1903,0.000747016,0.000747016,0.000747016
38,82.4542,0.97443,0.93139,1.0873,0.81699,0.83839,0.86273,0.55931,1.13491,0.77251,1.25004,0.000742517,0.000742517,0.000742517
39,84.5075,0.96632,0.93887,1.11597,0.84028,0.83917,0.86381,0.58952,1.06494,0.80392,1.21188,0.000738017,0.000738017,0.000738017
40,86.6196,0.97329,0.92711,1.09304,0.92576,0.83966,0.86139,0.58978,1.07965,0.79675,1.22854,0.000733518,0.000733518,0.000733518
41,88.6937,0.96013,0.94416,1.08066,0.87703,0.80175,0.82844,0.55838,1.06068,0.79946,1.20815,0.000729018,0.000729018,0.000729018
42,90.7802,0.87732,0.83076,1.04087,0.83539,0.84654,0.86789,0.57023,1.05933,0.77037,1.20911,0.000724518,0.000724518,0.000724518
43,92.8875,0.8832,0.81089,1.05066,0.91291,0.8064,0.86298,0.57946,1.04045,0.74907,1.19377,0.000720019,0.000720019,0.000720019
44,95.0338,0.97,0.85767,1.0837,0.88259,0.82048,0.85515,0.58615,1.03164,0.75615,1.18241,0.000715519,0.000715519,0.000715519
45,97.1117,0.93576,0.84279,1.07074,0.89129,0.83233,0.84017,0.58903,1.03788,0.7263,1.19716,0.00071102,0.00071102,0.00071102
46,99.1417,0.92023,0.84682,1.10068,0.87609,0.83933,0.84666,0.5771,1.05554,0.69184,1.20309,0.00070652,0.00070652,0.00070652
47,101.067,0.92006,0.84582,1.0684,0.89047,0.79744,0.84852,0.59943,0.99098,0.68873,1.14537,0.000702021,0.000702021,0.000702021
48,103.266,0.94006,0.86103,1.08299,0.88835,0.79235,0.84386,0.5901,0.99446,0.65227,1.17522,0.000697521,0.000697521,0.000697521
49,105.402,0.83883,0.77157,1.02238,0.89746,0.84188,0.87456,0.59095,1.04461,0.68053,1.19369,0.000693022,0.000693022,0.000693022
50,107.567,0.88175,0.83648,1.04178,0.88738,0.86227,0.87884,0.57166,1.14635,0.73015,1.28875,0.000688522,0.000688522,0.000688522
51,109.581,0.88562,0.79627,1.04512,0.83802,0.85962,0.86746,0.5963,1.16719,0.72934,1.31667,0.000684022,0.000684022,0.000684022
52,111.609,0.88555,0.75889,1.05,0.79393,0.84993,0.86349,0.59012,1.13,0.73661,1.2246,0.000679523,0.000679523,0.000679523
53,113.611,0.867,0.76019,1.01669,0.83377,0.8405,0.85507,0.59054,1.07138,0.69909,1.19947,0.000675023,0.000675023,0.000675023
54,115.749,0.91146,0.78858,1.0648,0.85585,0.85797,0.87618,0.61501,1.0651,0.74851,1.20437,0.000670524,0.000670524,0.000670524
55,117.794,0.80166,0.7462,1.03114,0.90995,0.78925,0.85015,0.60647,1.03835,0.73323,1.18162,0.000666024,0.000666024,0.000666024
56,119.888,0.85732,0.79681,1.05661,0.90169,0.76186,0.80464,0.57212,1.05502,0.76303,1.20043,0.000661525,0.000661525,0.000661525
57,121.95,0.80152,0.69854,1.0047,0.91334,0.73455,0.82104,0.56943,1.14164,0.78172,1.24863,0.000657025,0.000657025,0.000657025
58,124.044,0.9066,0.74193,1.01462,0.89036,0.77425,0.82796,0.57585,1.06712,0.701,1.20428,0.000652526,0.000652526,0.000652526
59,126.167,0.83761,0.76671,1.02653,0.85357,0.77365,0.84897,0.5925,1.08341,0.69394,1.21782,0.000648026,0.000648026,0.000648026
60,128.303,0.81694,0.82244,1.02079,0.89657,0.82018,0.87963,0.57557,1.09066,0.71874,1.24449,0.000643527,0.000643527,0.000643527
61,130.406,0.87902,0.81137,1.08607,0.92824,0.77884,0.84581,0.55239,1.10585,0.71866,1.26235,0.000639027,0.000639027,0.000639027
62,132.486,0.84946,0.70342,1.0316,0.91671,0.78194,0.84882,0.553,1.14022,0.76053,1.26907,0.000634527,0.000634527,0.000634527
63,134.46,0.77001,0.68857,0.98447,0.89357,0.79831,0.84126,0.53525,1.09726,0.76043,1.25188,0.000630028,0.000630028,0.000630028
64,136.601,0.88591,0.71332,1.03313,0.90179,0.7793,0.82425,0.54649,1.09542,0.7011,1.233,0.000625528,0.000625528,0.000625528
65,138.815,0.79955,0.70682,1.01858,0.87268,0.74546,0.76983,0.53314,1.12202,0.71383,1.24826,0.000621029,0.000621029,0.000621029
66,141.07,0.83222,0.66468,1.00873,0.86406,0.73914,0.79601,0.55685,1.0437,0.70616,1.20876,0.000616529,0.000616529,0.000616529
67,143.261,0.81689,0.66907,1.00769,0.85902,0.74735,0.7956,0.55159,0.99427,0.6959,1.17866,0.00061203,0.00061203,0.00061203
68,145.439,0.82292,0.65276,1.00814,0.92272,0.77242,0.85728,0.55114,1.09788,0.68892,1.23731,0.00060753,0.00060753,0.00060753
69,147.486,0.87324,0.71436,1.03705,0.9191,0.76621,0.86015,0.55079,1.14898,0.72026,1.26983,0.000603031,0.000603031,0.000603031
70,149.661,0.82462,0.70689,1.03598,0.94442,0.79869,0.89079,0.56134,1.14933,0.71198,1.24816,0.000598531,0.000598531,0.000598531
71,151.732,0.81841,0.6543,1.01345,0.92639,0.76345,0.86226,0.56523,1.16337,0.72616,1.25713,0.000594031,0.000594031,0.000594031
72,153.758,0.78645,0.63207,1.0052,0.82684,0.8088,0.82354,0.5656,1.12548,0.70307,1.23627,0.000589532,0.000589532,0.000589532
73,155.72,0.7736,0.68754,0.98463,0.81362,0.81836,0.82102,0.56006,1.14803,0.71909,1.2711,0.000585032,0.000585032,0.000585032
74,157.764,0.71514,0.62924,0.96434,0.89518,0.73344,0.81228,0.56618,1.13688,0.70577,1.26635,0.000580533,0.000580533,0.000580533
75,159.738,0.78103,0.62274,0.98191,0.95892,0.84218,0.91196,0.60197,1.03857,0.65822,1.19425,0.000576033,0.000576033,0.000576033
76,161.902,0.75526,0.62476,0.99317,0.96269,0.86025,0.92604,0.62277,1.03166,0.62245,1.18583,0.000571534,0.000571534,0.000571534
77,164.012,0.74732,0.59803,0.97503,0.95996,0.8634,0.92684,0.60708,1.00149,0.66299,1.18065,0.000567034,0.000567034,0.000567034
78,166.154,0.76833,0.65255,0.99419,0.94556,0.88562,0.94252,0.62785,0.98869,0.65595,1.1656,0.000562535,0.000562535,0.000562535
79,168.164,0.72728,0.63763,0.98133,0.83135,0.84281,0.89825,0.59888,0.99829,0.67128,1.18285,0.000558035,0.000558035,0.000558035
80,170.535,0.78257,0.62904,0.99743,0.82149,0.85583,0.86837,0.58453,1.05555,0.6767,1.20664,0.000553536,0.000553536,0.000553536
81,172.678,0.71474,0.57469,0.95789,0.8983,0.80293,0.85335,0.58017,1.05673,0.65471,1.2214,0.000549036,0.000549036,0.000549036
82,174.769,0.72678,0.60409,0.98828,0.82883,0.81511,0.84103,0.60253,1.04831,0.6679,1.23117,0.000544536,0.000544536,0.000544536
83,176.81,0.74971,0.65335,0.98149,0.77117,0.83415,0.82989,0.58865,1.03646,0.69941,1.23873,0.000540037,0.000540037,0.000540037
84,179.014,0.70127,0.56933,0.95338,0.86925,0.81473,0.89401,0.57125,1.08646,0.71759,1.26936,0.000535537,0.000535537,0.000535537
85,180.986,0.75868,0.58228,0.99175,0.89707,0.84246,0.90775,0.60009,1.03585,0.69798,1.2278,0.000531038,0.000531038,0.000531038
86,183.012,0.69211,0.56961,0.94169,0.80525,0.85379,0.88162,0.60427,1.00131,0.6555,1.20836,0.000526538,0.000526538,0.000526538
87,185.015,0.71971,0.5886,0.97429,0.84134,0.84202,0.88751,0.60941,1.01931,0.65966,1.22075,0.000522039,0.000522039,0.000522039
88,187.036,0.72203,0.60746,0.98491,0.80019,0.817,0.83553,0.60397,1.06557,0.67489,1.25199,0.000517539,0.000517539,0.000517539
89,188.991,0.74649,0.58902,0.98002,0.84499,0.85263,0.854,0.58969,1.07398,0.66414,1.25493,0.00051304,0.00051304,0.00051304
90,191.136,0.73789,0.62168,0.97108,0.84738,0.85654,0.85498,0.60639,1.07818,0.66611,1.22516,0.00050854,0.00050854,0.00050854
91,193.149,0.70394,0.57353,0.97097,0.8227,0.83887,0.8841,0.6119,1.05195,0.68116,1.21574,0.00050404,0.00050404,0.00050404
92,195.312,0.74447,0.57714,1.00883,0.83548,0.82003,0.8669,0.59678,1.13513,0.70529,1.26414,0.000499541,0.000499541,0.000499541
93,197.367,0.6783,0.56351,0.92105,0.7949,0.80033,0.81919,0.57827,1.10013,0.72394,1.23634,0.000495041,0.000495041,0.000495041
94,199.54,0.71077,0.57641,0.98329,0.86076,0.81193,0.82975,0.59449,1.0333,0.63827,1.19507,0.000490542,0.000490542,0.000490542
95,201.652,0.69551,0.55118,0.961,0.87549,0.82386,0.84877,0.6024,1.07521,0.66369,1.2319,0.000486042,0.000486042,0.000486042
96,203.875,0.6911,0.55758,0.97097,0.80581,0.86281,0.86679,0.60325,1.07559,0.69986,1.26519,0.000481543,0.000481543,0.000481543
97,206.018,0.70107,0.55458,0.95777,0.82812,0.86148,0.86712,0.60795,1.05314,0.67151,1.24649,0.000477043,0.000477043,0.000477043
98,208.23,0.64978,0.54646,0.9423,0.84955,0.83579,0.84703,0.59566,1.03018,0.63298,1.23469,0.000472544,0.000472544,0.000472544
99,210.29,0.64315,0.63054,0.94219,0.86736,0.84877,0.83876,0.59386,1.0264,0.60031,1.22755,0.000468044,0.000468044,0.000468044
100,212.427,0.68941,0.53557,0.9447,0.82274,0.82637,0.8429,0.60661,1.04431,0.60174,1.21675,0.000463545,0.000463545,0.000463545
101,214.926,0.6761,0.569,0.97954,0.88569,0.77665,0.83138,0.59353,1.05913,0.63099,1.22789,0.000459045,0.000459045,0.000459045
102,217.039,0.72123,0.56041,0.954,0.87349,0.78273,0.83036,0.58792,1.05811,0.6748,1.23231,0.000454545,0.000454545,0.000454545
103,219.047,0.67963,0.52564,0.95337,0.78881,0.85908,0.85303,0.59856,1.0985,0.65855,1.26575,0.000450046,0.000450046,0.000450046
104,221.154,0.68829,0.55853,0.94795,0.83848,0.83871,0.86931,0.60249,1.12233,0.68267,1.27934,0.000445546,0.000445546,0.000445546
105,223.155,0.64701,0.55355,0.94073,0.76555,0.85489,0.85,0.59643,1.14542,0.66506,1.29013,0.000441047,0.000441047,0.000441047
106,225.263,0.63956,0.49698,0.92278,0.95544,0.79107,0.90399,0.61333,1.09149,0.65641,1.27813,0.000436547,0.000436547,0.000436547
107,227.352,0.64179,0.53005,0.96376,0.927,0.75527,0.85774,0.62244,1.06382,0.64768,1.2601,0.000432048,0.000432048,0.000432048
108,229.438,0.61799,0.49373,0.92444,0.88181,0.78946,0.86442,0.6326,1.04373,0.67348,1.21975,0.000427548,0.000427548,0.000427548
109,231.481,0.66818,0.51813,0.95354,0.88129,0.79994,0.86168,0.63523,1.05203,0.68433,1.22608,0.000423049,0.000423049,0.000423049
110,233.83,0.64573,0.51552,0.93218,0.82322,0.85686,0.87814,0.63045,1.02621,0.66196,1.20436,0.000418549,0.000418549,0.000418549
111,235.897,0.62676,0.50608,0.94626,0.91465,0.77628,0.88833,0.63803,1.05428,0.64967,1.22799,0.000414049,0.000414049,0.000414049
