epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55593,0.83626,0.76521,1.02582,0.51125,0.49697,0.43837,0.36738,0.64224,2.1371,0.914,8.888e-05,8.888e-05,8.888e-05
2,7.68867,0.79239,0.73271,1.01277,0.48586,0.49172,0.44662,0.37415,0.64569,2.1118,0.91667,0.000187,0.000187,0.000187
3,10.8523,0.84642,0.69902,1.00944,0.49499,0.49808,0.4273,0.35543,0.61916,2.13511,0.91051,0.000283141,0.000283141,0.000283141
4,13.9389,0.80709,0.70056,1.02296,0.48903,0.52468,0.42507,0.3525,0.67962,2.26804,0.92498,0.000377301,0.000377301,0.000377301
5,17.022,0.81008,0.70718,1.02282,0.51474,0.49964,0.42569,0.34795,0.70185,2.24493,0.96122,0.000469482,0.000469482,0.000469482
6,20.1473,0.80926,0.73441,0.99938,0.48329,0.51094,0.43075,0.33924,0.77341,2.08033,0.98955,0.000559683,0.000559683,0.000559683
7,23.1928,0.81288,0.72921,1.02393,0.45214,0.50823,0.37484,0.29953,0.71044,2.2301,0.95516,0.000647904,0.000647904,0.000647904
8,26.2593,0.84544,0.74152,1.04257,0.45803,0.51182,0.39561,0.3069,0.75921,2.11973,0.97222,0.000734145,0.000734145,0.000734145
9,29.1122,0.85919,0.77161,1.04134,0.50172,0.5083,0.41261,0.32944,0.71972,2.2689,0.95839,0.000818407,0.000818407,0.000818407
10,31.9901,0.89261,0.76062,1.04915,0.50418,0.48847,0.40937,0.32959,0.72004,2.2024,0.95752,0.000900689,0.000900689,0.000900689
11,34.7264,0.9004,0.80705,1.07765,0.47419,0.51437,0.40235,0.31848,0.80006,2.09505,1.00589,0.000980991,0.000980991,0.000980991
12,37.6386,0.88677,0.73797,1.04396,0.47601,0.52364,0.3858,0.3022,0.78082,2.30921,0.99414,0.000990012,0.000990012,0.000990012
13,40.8156,0.92836,0.79426,1.06405,0.46342,0.54355,0.45458,0.35496,0.75999,1.9902,0.98458,0.000979013,0.000979013,0.000979013
14,43.8341,0.88552,0.75996,1.03226,0.50424,0.49351,0.43664,0.33821,0.7761,2.04284,1.00384,0.000968014,0.000968014,0.000968014
15,46.7102,0.86433,0.72741,1.02388,0.50023,0.5219,0.3954,0.30483,0.78968,2.28793,0.99928,0.000957015,0.000957015,0.000957015
16,49.6435,0.87119,0.73977,1.03916,0.51236,0.48764,0.40846,0.32085,0.79279,2.25811,1.01068,0.000946016,0.000946016,0.000946016
17,52.5113,0.85288,0.72913,1.03259,0.47122,0.50753,0.41189,0.32974,0.81784,2.27086,1.02829,0.000935018,0.000935018,0.000935018
18,55.4227,0.82338,0.70008,1.02242,0.49387,0.50207,0.38386,0.31094,0.75704,2.45883,0.99023,0.000924019,0.000924019,0.000924019
19,58.3356,0.82507,0.70875,1.03217,0.45335,0.52144,0.36695,0.29246,0.72105,2.56189,0.96743,0.00091302,0.00091302,0.00091302
20,61.275,0.86208,0.73663,1.04964,0.49615,0.51485,0.38808,0.3023,0.72669,2.24332,0.96115,0.000902021,0.000902021,0.000902021
21,64.159,0.82951,0.69771,1.01008,0.50246,0.5193,0.40378,0.31857,0.70112,2.17942,0.94501,0.000891022,0.000891022,0.000891022
22,66.8534,0.79072,0.66603,1.02182,0.4929,0.48595,0.39644,0.3225,0.70566,2.24991,0.94554,0.000880023,0.000880023,0.000880023
23,69.6691,0.82128,0.65993,1.01336,0.49178,0.48359,0.379,0.30638,0.70846,2.23908,0.9502,0.000869024,0.000869024,0.000869024
24,72.6609,0.85459,0.69898,1.02507,0.49999,0.48142,0.39412,0.31427,0.75998,2.21106,0.98447,0.000858025,0.000858025,0.000858025
25,75.6029,0.82697,0.68222,1.0174,0.48959,0.48882,0.42827,0.35157,0.70368,2.07045,0.95719,0.000847026,0.000847026,0.000847026
26,78.5089,0.86473,0.70767,1.05539,0.51419,0.48609,0.43534,0.34996,0.66888,2.11041,0.94426,0.000836027,0.000836027,0.000836027
27,81.3976,0.83466,0.6731,1.04157,0.50179,0.5381,0.43314,0.34678,0.75032,2.2576,0.98459,0.000825029,0.000825029,0.000825029
28,84.3621,0.80785,0.64456,1.03342,0.49314,0.52007,0.41299,0.34308,0.71508,2.31056,0.95636,0.00081403,0.00081403,0.00081403
29,87.2133,0.79907,0.60543,1.01211,0.48023,0.50811,0.38794,0.32061,0.71159,2.35645,0.96222,0.000803031,0.000803031,0.000803031
30,90.0531,0.78008,0.622,0.99498,0.4753,0.49857,0.38918,0.31946,0.7142,2.41624,0.97475,0.000792032,0.000792032,0.000792032
31,93.5062,0.74881,0.58677,0.98443,0.48194,0.49934,0.39197,0.33353,0.67805,2.39642,0.94839,0.000781033,0.000781033,0.000781033
32,96.3561,0.77994,0.63439,1.00871,0.49392,0.50312,0.37582,0.30674,0.66539,2.34339,0.94995,0.000770034,0.000770034,0.000770034
33,99.1757,0.73724,0.59151,0.97067,0.4984,0.47571,0.36417,0.29061,0.68669,2.37836,0.97521,0.000759035,0.000759035,0.000759035
34,101.964,0.71194,0.5858,0.97325,0.46641,0.50106,0.35928,0.29379,0.67662,2.31144,0.95939,0.000748036,0.000748036,0.000748036
35,104.763,0.75909,0.58996,0.99342,0.4786,0.49668,0.34022,0.27987,0.67902,2.31842,0.95367,0.000737037,0.000737037,0.000737037
36,107.682,0.76474,0.60593,1.00069,0.48489,0.494,0.37897,0.31926,0.6551,2.30946,0.93029,0.000726038,0.000726038,0.000726038
37,110.484,0.80081,0.63724,1.02747,0.48501,0.5055,0.40177,0.32502,0.66285,2.23491,0.94713,0.00071504,0.00071504,0.00071504
38,113.153,0.76513,0.60653,0.97749,0.49714,0.49879,0.42041,0.33852,0.68475,2.24128,0.94721,0.000704041,0.000704041,0.000704041
39,115.997,0.75451,0.58421,0.9908,0.49522,0.51034,0.43858,0.36735,0.66386,2.23844,0.93905,0.000693042,0.000693042,0.000693042
40,118.879,0.77382,0.60351,0.99389,0.49276,0.49783,0.42139,0.35262,0.61687,2.24796,0.91825,0.000682043,0.000682043,0.000682043
