epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91319,1.95129,4.24567,1.83022,0.00385,0.50872,0.05218,0.02368,1.80353,3.75396,1.5162,8.888e-05,8.888e-05,8.888e-05
2,6.85518,1.75942,3.71692,1.56107,0.00623,0.80336,0.15527,0.07194,1.60523,3.56973,1.32399,0.000188496,0.000188496,0.000188496
3,9.52954,1.8134,2.9103,1.51504,0.0085,0.81933,0.19728,0.10039,1.3654,3.36904,1.2481,0.000287716,0.000287716,0.000287716
4,12.1486,1.58154,2.43353,1.39051,0.00803,0.65507,0.17647,0.07833,1.46282,3.45685,1.37628,0.00038654,0.00038654,0.00038654
5,14.7761,1.52658,2.04766,1.40185,0.87642,0.06364,0.21032,0.11657,1.31188,3.32028,1.23941,0.000484968,0.000484968,0.000484968
6,17.4292,1.49828,2.00814,1.31695,0.87798,0.05423,0.25148,0.13709,1.36098,3.26134,1.28375,0.000583001,0.000583001,0.000583001
7,20.0272,1.36723,1.77865,1.26816,0.88098,0.11189,0.40559,0.24934,1.37442,2.91879,1.30157,0.000680637,0.000680637,0.000680637
8,22.6679,1.44798,1.93731,1.34261,0.67515,0.15012,0.28155,0.11195,1.6922,3.32312,1.65894,0.000777877,0.000777877,0.000777877
9,25.4727,1.38037,1.87943,1.30757,0.51866,0.19914,0.31365,0.17118,1.38477,2.86527,1.3194,0.000874721,0.000874721,0.000874721
10,28.1302,1.46829,1.73797,1.29692,0.51294,0.21826,0.36774,0.19686,1.40257,2.76676,1.31587,0.00097117,0.00097117,0.00097117
11,30.5727,1.4083,1.75244,1.32229,0.64777,0.22897,0.45484,0.25685,1.37834,2.62227,1.30614,0.00106722,0.00106722,0.00106722
12,33.1868,1.31766,1.50261,1.25719,0.40177,0.45822,0.43287,0.26619,1.27521,2.29372,1.24822,0.0010868,0.0010868,0.0010868
13,35.7971,1.37624,1.54961,1.28399,0.4772,0.37653,0.39418,0.2266,1.36361,2.37787,1.35911,0.0010846,0.0010846,0.0010846
14,38.3605,1.3281,1.5117,1.24507,0.44489,0.37538,0.38329,0.21703,1.29944,2.26957,1.295,0.0010824,0.0010824,0.0010824
15,40.9617,1.26548,1.48569,1.21318,0.38301,0.47362,0.40605,0.22711,1.39956,2.17276,1.36886,0.0010802,0.0010802,0.0010802
16,43.6294,1.29613,1.43305,1.25081,0.44608,0.57866,0.44087,0.26069,1.32586,1.92001,1.34463,0.001078,0.001078,0.001078
17,46.1587,1.27715,1.41862,1.21758,0.41558,0.47288,0.41444,0.2586,1.22358,2.05984,1.26021,0.0010758,0.0010758,0.0010758
18,48.7174,1.25625,1.3583,1.21388,0.46699,0.44813,0.37579,0.23225,1.18493,2.11306,1.25953,0.0010736,0.0010736,0.0010736
19,51.262,1.22709,1.29883,1.23297,0.43818,0.44966,0.38531,0.25139,1.18861,2.18614,1.27312,0.0010714,0.0010714,0.0010714
20,53.8005,1.25345,1.36064,1.26265,0.47578,0.4277,0.39387,0.2561,1.18332,2.19213,1.24818,0.0010692,0.0010692,0.0010692
21,56.315,1.23036,1.3508,1.1979,0.46619,0.44455,0.36553,0.23536,1.19208,2.14136,1.28188,0.001067,0.001067,0.001067
22,59.0534,1.14901,1.22605,1.19779,0.49461,0.47953,0.42407,0.28833,1.16283,2.0586,1.23272,0.0010648,0.0010648,0.0010648
23,61.7291,1.16144,1.195,1.17402,0.50068,0.47824,0.42744,0.29281,1.14252,1.97804,1.21832,0.0010626,0.0010626,0.0010626
24,64.1768,1.19648,1.21923,1.22251,0.49351,0.53526,0.41749,0.29072,1.06267,2.03105,1.17232,0.00106041,0.00106041,0.00106041
25,66.7595,1.16304,1.19089,1.18525,0.44913,0.53402,0.41693,0.27663,1.12057,2.00045,1.20462,0.00105821,0.00105821,0.00105821
26,69.3094,1.21111,1.23044,1.22533,0.46587,0.5495,0.41359,0.28688,1.09872,1.96202,1.17547,0.00105601,0.00105601,0.00105601
27,71.9111,1.18811,1.16837,1.21774,0.46655,0.55266,0.44108,0.30134,1.01943,2.06203,1.1408,0.00105381,0.00105381,0.00105381
28,74.5212,1.15984,1.12498,1.20496,0.48665,0.52314,0.44617,0.30437,1.01135,2.01619,1.11443,0.00105161,0.00105161,0.00105161
29,77.1361,1.12231,1.09819,1.15347,0.54034,0.5028,0.45095,0.30884,1.03128,1.97137,1.12945,0.00104941,0.00104941,0.00104941
30,79.7368,1.12811,1.09714,1.14901,0.52613,0.47498,0.41701,0.28884,1.04157,2.21837,1.14559,0.00104721,0.00104721,0.00104721
31,82.1897,1.0912,1.0081,1.13218,0.48737,0.52712,0.42457,0.29982,1.01464,2.24118,1.12917,0.00104501,0.00104501,0.00104501
32,84.7821,1.08778,1.03892,1.1432,0.48159,0.55202,0.43012,0.30023,1.04231,2.16089,1.15761,0.00104281,0.00104281,0.00104281
33,87.2939,1.08466,1.01507,1.13359,0.50127,0.54997,0.44522,0.31892,0.94003,1.97,1.10655,0.00104061,0.00104061,0.00104061
34,89.7494,0.99403,0.97538,1.10309,0.47335,0.55685,0.47353,0.34097,0.93919,1.89345,1.11328,0.00103841,0.00103841,0.00103841
35,92.5003,1.089,0.95831,1.16177,0.47445,0.52482,0.43978,0.32273,0.92343,2.02507,1.09372,0.00103621,0.00103621,0.00103621
36,95.1447,1.03003,0.98361,1.13219,0.50262,0.47403,0.42534,0.30564,0.97116,2.12111,1.1199,0.00103401,0.00103401,0.00103401
37,97.7679,1.08362,1.0491,1.15746,0.5233,0.46129,0.43497,0.31278,0.9761,2.1572,1.11447,0.00103181,0.00103181,0.00103181
38,100.377,1.0575,0.95237,1.12729,0.53634,0.48398,0.42086,0.28879,1.08271,2.24827,1.16983,0.00102961,0.00102961,0.00102961
39,102.878,1.0007,0.93169,1.11348,0.51401,0.50484,0.40261,0.29479,0.98603,2.24038,1.1033,0.00102741,0.00102741,0.00102741
40,105.392,1.0391,0.98377,1.12898,0.54552,0.48817,0.40518,0.29792,0.90684,2.22089,1.07786,0.00102521,0.00102521,0.00102521
41,108.36,1.05066,0.90676,1.1503,0.5598,0.50556,0.4208,0.29932,0.91625,2.09781,1.0807,0.00102301,0.00102301,0.00102301
42,110.757,1.06563,0.96099,1.15156,0.50185,0.55029,0.42618,0.31488,0.91206,2.00534,1.0681,0.00102081,0.00102081,0.00102081
43,113.247,1.01344,0.95503,1.13414,0.52654,0.56796,0.46272,0.33863,0.88684,1.91597,1.05668,0.00101861,0.00101861,0.00101861
44,115.721,1.02592,0.9573,1.14409,0.48477,0.53195,0.4576,0.33015,0.88144,2.11413,1.0578,0.00101641,0.00101641,0.00101641
45,118.18,0.99899,0.849,1.1058,0.482,0.52491,0.45099,0.33941,0.90956,2.06406,1.08615,0.00101421,0.00101421,0.00101421
46,120.701,0.96801,0.88601,1.0805,0.48305,0.53313,0.45185,0.33786,0.85551,1.99389,1.05571,0.00101201,0.00101201,0.00101201
47,123.213,1.01306,0.88603,1.11545,0.51421,0.51135,0.43239,0.32508,0.85192,1.99383,1.03137,0.00100981,0.00100981,0.00100981
48,125.801,0.95885,0.85696,1.10895,0.54936,0.5031,0.44095,0.33037,0.86818,2.16437,1.0331,0.00100761,0.00100761,0.00100761
49,128.385,0.96123,0.87943,1.07975,0.55262,0.48631,0.42562,0.31886,0.85522,2.14553,1.02129,0.00100541,0.00100541,0.00100541
50,130.886,1.00984,0.89742,1.1329,0.50929,0.51762,0.43095,0.32824,0.85048,2.04046,1.01616,0.00100321,0.00100321,0.00100321
51,133.217,0.97777,0.86029,1.10158,0.51699,0.51718,0.41391,0.30936,0.85533,2.18424,1.03866,0.00100101,0.00100101,0.00100101
52,135.671,0.9549,0.83805,1.10892,0.45959,0.52589,0.4232,0.31637,0.84208,2.24545,1.03181,0.000998811,0.000998811,0.000998811
53,138.081,0.95532,0.85936,1.07908,0.46607,0.54246,0.45967,0.35082,0.82731,2.04209,1.04182,0.000996611,0.000996611,0.000996611
